X (m),Y (m),Z (m),Normal X,Normal Y,Normal Z,Area (m*m)
-0.002920162,0.045798805,-0.049449943,9.05073E-16,1,-2.41353E-15,0.023
0.047079838,-0.004201195,-0.049449943,1,0,2.41353E-15,0.023
-0.002920162,-0.054201195,-0.049449943,2.71522E-15,-1,0,0.023
-0.052920162,-0.004201195,-0.049449943,-1,1.20676E-15,-1.81015E-15,0.023
-0.002920162,-0.004201195,-0.164449943,6.93889E-16,1.38778E-15,-1,0.01
-0.002920162,0.045798805,0.120552307,1.89235E-15,1,2.52313E-15,0.01100045
0.047079838,-0.004201195,0.120554557,1,-2.52313E-15,0,0.01100045
-0.002920162,-0.004201195,0.175554557,6.93889E-16,1.38778E-15,1,0.01
-0.002920162,-0.054201195,0.120554557,1.26157E-15,-1,0,0.01100045
-0.052920162,-0.004201195,0.120552307,-1,1.26157E-15,2.52313E-15,0.01100045
-0.002920162,0.099837988,-0.312921377,-1.51514E-14,-0.939692621,-0.342020143,0.0316
-0.106959345,-0.004201195,-0.312921377,0.939692621,3.51336E-15,-0.342020143,0.0316
-0.002920162,-0.108240377,-0.312921377,-6.80714E-15,0.939692621,-0.342020143,0.0316
0.101119021,-0.004201195,-0.312921377,-0.939692621,-9.66175E-15,-0.342020143,0.0316
-0.106959345,-0.004201195,-0.312921377,-0.939692621,-3.51336E-15,0.342020143,0.0316
-0.002920162,-0.108240377,-0.312921377,6.80714E-15,-0.939692621,0.342020143,0.0316
0.101119021,-0.004201195,-0.312921377,0.939692621,9.66175E-15,0.342020143,0.0316
-0.002920162,0.099837988,-0.312921377,-1.51514E-14,0.939692621,0.342020143,0.0316
-0.002920162,-0.004201195,0.065550057,0,0,1,31.002624
-0.002920162,-0.004201195,0.065550057,0,0,-1,31.002624
